condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
modiso__gpt-oss-20b__t06__r02,modiso,gpt-oss-20b,6,2,0.3056,0.1912,0.6528,0.5956,0.49161857515573504,0.40285129916100276,-0.01764895163186185,0.4896952380952381,0.025404285714285713,0.48002014489095535,0.5872753262519836,0.6132194399833679,0.48464163822525597,0.42439862542955326,0.3672945205479452
modiso__gpt-oss-20b__t06__r03,modiso,gpt-oss-20b,6,3,0.1155,-0.1829,0.5578,0.4086,0.5251659333705903,0.42684045859745573,-0.00725167204033245,0.2564333333333333,0.06726818181818182,0.6166910751926139,0.6238175630569458,0.6294659376144409,0.5099099099099099,0.42579505300353354,0.3809099018733274
modiso__gpt-oss-20b__t07__r01,modiso,gpt-oss-20b,7,1,0.0445,0.3555,0.5223,0.6777,0.5363347543403506,0.38876948399203165,-0.015448182840625978,0.2077190476190476,0.006457922077922074,0.5052758394410943,0.6410199999809265,0.6188580989837646,0.5123076923076924,0.5056910569105691,0.40474308300395256
modiso__gpt-oss-20b__t07__r02,modiso,gpt-oss-20b,7,2,-0.0121,0.5112,0.494,0.7556,0.5124414145946503,0.42066181557519094,-0.01482096771141151,0.5628333333333332,-0.016482727272727263,0.318328563913411,0.5784615874290466,0.6405700445175171,0.5592334494773519,0.5159474671669794,0.4146341463414634
modiso__gpt-oss-20b__t07__r03,modiso,gpt-oss-20b,7,3,-0.0333,0.3886,0.4834,0.6943,0.5247763298451901,0.3508292814450605,-0.027502959318362278,0.6504,-0.011878961038961038,0.2606642175015863,0.6685816645622253,0.649641215801239,0.5300813008130081,0.4725274725274725,0.4125753660637382
modiso__llama-70b__t00__r01,modiso,llama-70b,0,1,0.2614,0.3369,0.6307,0.6684,0.5656336650252343,0.4308378781591143,-0.014385324406933478,0.4609904761904762,0.01894441558441558,0.5962987058311998,0.5837888717651367,0.545183539390564,0.38405797101449274,0.4573268921095008,0.3333333333333333
modiso__llama-70b__t00__r02,modiso,llama-70b,0,2,0.1455,0.2613,0.5728,0.6306,0.6280692026019097,0.46561914611430394,-0.022331942985584215,0.5520285714285714,-0.0030825974025974023,0.40114228581562894,0.6139407753944397,0.5056769847869873,0.36384439359267734,0.4413793103448276,0.3218707015130674
modiso__llama-70b__t00__r03,modiso,llama-70b,0,3,0.4951,0.1568,0.7476,0.5784,0.5194711346179247,0.4235853162549791,-0.01659738373059732,0.4730333333333334,0.008215194805194809,0.49566785954318954,0.5712149739265442,0.5674326419830322,0.4085510688836104,0.4608208955223881,0.3548621190130624
modiso__llama-70b__t01__r01,modiso,llama-70b,1,1,0.3889,-0.0153,0.6945,0.4924,0.5820899404585361,0.38667682380903334,-0.006278715195593896,0.14916190476190477,-0.024188831168831165,0.5776145629315951,0.5885111093521118,0.6377704739570618,0.4027777777777778,0.4686868686868687,0.34498834498834496
modiso__llama-70b__t01__r02,modiso,llama-70b,1,2,0.3281,0.336,0.6641,0.668,0.5053771361708641,0.3179882182961419,-0.01879269532956086,0.2140142857142857,-0.009963116883116886,0.6675635545172668,0.6540781259536743,0.6273713707923889,0.40801001251564456,0.4609375,0.34096109839816935
modiso__llama-70b__t01__r03,modiso,llama-70b,1,3,0.2487,0.3787,0.6244,0.6893,0.48097108751535417,0.29702468925998327,-0.014551484991203659,0.4960333333333334,0.025439090909090904,0.5087208855208123,0.6962552070617676,0.6788812279701233,0.4033078880407125,0.4499054820415879,0.34448669201520915
modiso__llama-70b__t02__r01,modiso,llama-70b,2,1,0.2682,0.3244,0.6341,0.6622,0.6427965044975281,0.4617927755628313,-0.007278528345095652,0.5458285714285713,-0.002238051948051953,0.5432406308379347,0.5415838956832886,0.4181307554244995,0.4093789607097592,0.4883720930232558,0.35237388724035607
modiso__llama-70b__t02__r02,modiso,llama-70b,2,2,0.2307,0.3047,0.6153,0.6523,0.5843870162963867,0.4637815640086219,-0.0031119008729984287,0.7897428571428572,0.011257272727272736,0.2428137843647906,0.5535656809806824,0.5348839163780212,0.37168141592920356,0.47027972027972026,0.3319783197831978
modiso__llama-70b__t02__r03,modiso,llama-70b,2,3,0.2047,0.3085,0.6023,0.6543,0.5583834841847419,0.417841653738703,-0.007969639847030897,0.645447619047619,0.012174675324675328,0.4126802805113209,0.5534363985061646,0.6009321808815002,0.3877805486284289,0.45663716814159294,0.32991953182150696
modiso__llama-70b__t03__r01,modiso,llama-70b,3,1,0.2478,0.1311,0.6239,0.5655,0.5507110252976417,0.4308065612401281,-0.011385583587281124,0.3690047619047619,-0.018652857142857134,0.5245042616161614,0.5763112306594849,0.5477650165557861,0.38173817381738173,0.4805194805194805,0.35013812154696133
modiso__llama-70b__t03__r02,modiso,llama-70b,3,2,0.3896,0.2278,0.6948,0.6139,0.5744432806968689,0.4861239819299607,-0.012474721902376655,0.529457142857143,-0.010781168831168825,0.4402088287678589,0.45622989535331726,0.5865188837051392,0.3945267958950969,0.45271317829457364,0.335742444152431
modiso__llama-70b__t03__r03,modiso,llama-70b,3,3,0.3468,0.0672,0.6734,0.5336,0.5738531835377216,0.4841650625069936,-0.007536728854303244,0.5880190476190477,0.020985064935064933,0.46990833920695196,0.48018425703048706,0.5277820825576782,0.4053738317757009,0.46113989637305697,0.34425087108013935
modiso__llama-70b__t04__r01,modiso,llama-70b,4,1,0.171,0.1788,0.5855,0.5894,0.4812309056520462,0.4964406390984853,-0.01621040187098762,0.2444666666666667,0.010966753246753244,0.594227393009759,0.5129209160804749,0.6192271113395691,0.4265463917525773,0.45126353790613716,0.3593984962406015
